qid,source,type,question,image,solution,answer,unit,notes,number_of_answers,original_qid,category_vector,steps_count,difficulty_level,primary_category,Materials,Properties,Structures,Fundamental Mechanisms,Processes,Failure Mechanisms
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 7.8,Electronic_Magnetic_and_Optical_Materials_Fulay,NUM,"The refractive index ($n$) of a silicate glass is 1.5. What is the high-frequency dielectric constant ($k_{\infty}$) of this glass? The dielectric constant of this glass at 1 kHz is $k_{\mathrm{S}}=7.6$. Based on the relaxation of the dielectric constant, approximately what fraction of the low-frequency dielectric constant ($k_{\mathrm{S}}$) can be attributed to ionic polarization? Reference the Lorentz-Lorenz equation and the relationship between the high-frequency dielectric constant and the refractive index, $k_{\infty}=n^{2}$.",,"Given the refractive index ($n$) of the silicate glass is 1.5, the high-frequency dielectric constant ($k_{\infty}$) can be calculated using the relationship $k_{\infty}=n^{2}=2.25$. The low-frequency dielectric constant is given as $k_{\mathrm{S}}=7.6$. The contribution of ionic polarization to the dielectric constant is the difference between the low-frequency and high-frequency dielectric constants, $7.6 - 2.25=5.35$. The fraction of the low-frequency dielectric constant attributed to ionic polarization is therefore $\frac{5.35}{7.6} \approx 0.704$, or 70%. This indicates that nearly 70% of the low-frequency dielectric constant ($k_{\mathrm{S}}$) for this glass is due to ionic polarization, with the remaining 30% due to electronic polarization. This analysis is supported by the Lorentz-Lorenz equation, which relates the refractive index to the high-frequency dielectric constant, emphasizing that at high frequencies, only electronic polarization contributes to the dielectric constant.",0.704,,No supplementary information needed.,single,Example 7.8,651007,4,easy,Materials: Glasses,Glasses,Optical,Composites,,,Corrosion
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 7.9,Electronic_Magnetic_and_Optical_Materials_Fulay,NUM,"The static dielectric constant $(\varepsilon_{\mathrm{s}})$ of $\mathrm{H}_{2} \mathrm{O}$ is 78.4 at 298.15 K (Fernandez et al. 1995). It decreases to about $\varepsilon_{\mathrm{r}}(\omega)=$ 20 at a frequency of $f=40 \mathrm{GHz}$. If the high-frequency (optical) dielectric constant $(\varepsilon_{\infty})$ is 5, what is the relaxation time $\tau$ for $\mathrm{H}_{2} \mathrm{O}$ molecule dipoles?",,"We first convert the frequency $(f)$ into angular frequency $(\omega)$ by using

$$
\omega=2 \pi f
$$

Therefore, $\omega=2 \pi\left(40 \times 10^{9} \mathrm{~Hz}\right)=2.51327 \times 10^{11} \mathrm{rad} / \mathrm{s}$.
We assume that relaxation in the real part of the dielectric constant $(k^{\prime})$ of water follows the Debye equations, Equations ($\varepsilon_{\mathrm{r}}^{\prime}=k^{\prime}=k_{\infty}+\frac{k_{\mathrm{s}}-k_{\infty}}{1+\omega^2 \tau^2}$) and ($\varepsilon_{\mathrm{r}}^{\prime \prime}=k^{\prime \prime}=\left(k_{\mathrm{s}}-k_{\infty}\right)\left(\frac{\omega \tau}{1+\omega^2 \tau^2}\right)$).

For this problem, we substitute the following values in Equation ($\varepsilon_{\mathrm{r}}^{\prime}=k^{\prime}=k_{\infty}+\frac{k_{\mathrm{s}}-k_{\infty}}{1+\omega^2 \tau^2}$): $\varepsilon_{\mathrm{S}}=k_{\mathrm{S}}=78.4$, and $\varepsilon_{\infty}=k_{\infty}=5$. We also know that $k^{\prime}=20$, when $f=40 \mathrm{GHz}$, that is, $\omega=2 \pi f=2.51327 \times 10^{11} \mathrm{rad} / \mathrm{s}$.

We rewrite the Debye equation as:

$$
\left(1+\omega^{2} \tau^{2}\right)=\frac{k_{\mathrm{s}}-k_{\infty}}{k^{\prime}-k_{\infty}}
$$

or

$$
\omega^{2} \tau^{2}=\left(\frac{k_{\mathrm{s}}-k_{\infty}}{k^{\prime}-k_{\infty}}\right)-1
$$

Substituting these values in Equation ($\omega^2 \tau^2=\left(\frac{k_{\mathrm{s}}-k_{\infty}}{k^{\prime}-k_{\infty}}\right)-1$), we get

$$
\omega^{2} \tau^{2}=\left[\frac{78.4-5}{20-5}\right]-1=3.893
$$

Therefore,

$$
\omega \tau=1.973
$$

$$
\tau=\frac{1.973}{2.51327 \times 10^{11} \mathrm{rad} / \mathrm{s}}=7.85 \times 10^{-12} \mathrm{~s}
$$

One picosecond is equal to $10^{-12}$ seconds. Thus, the relaxation time $(\tau)$ for an $\mathrm{H}_{2} \mathrm{O}$ molecule, which is a permanent dipole, is about 7.85 picoseconds, which is the average time that an $\mathrm{H}_{2} \mathrm{O}$ molecule needs to 'flip' and realign as the direction of the electrical field changes.

Note that because $\mathrm{H}_{2} \mathrm{O}$ molecules are polar, neither the Clausius-Mossotti nor the Lorentz-Lorenz equations apply because $\varepsilon_{\infty}$ is not equal to $\mathrm{n}^{2}$.",7.85,picoseconds,No supplementary information needed.,single,Example 7.9,131000,9,easy,Materials: Metals,Metals,Electrical,Composites,,,
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 7.10,Electronic_Magnetic_and_Optical_Materials_Fulay,NUM,What is the magnitude of the capacitive reactance $\left(X_{\mathrm{C}}\right)$ of a $200-\mathrm{pF}$ capacitor at a frequency of 10 MHz?,,"The magnitude of the capacitive reactance $\left(X_{\mathrm{C}}\right)$ for a capacitor in a parallel arrangement with a resistor, as described, is given by the formula:

$$
X_{\mathrm{C}}=\frac{1}{\omega C}=\frac{1}{2 \pi f C}
$$

Given a capacitor of $200-\mathrm{pF}$ (where $1 \mathrm{pF} = 10^{-12} \mathrm{F}$) at a frequency of 10 MHz ($10 \times 10^{6} \mathrm{Hz}$), the calculation proceeds as follows:

$$
X_{\mathrm{C}}=\frac{1}{2 \pi \left(10 \times 10^{6}\right) \left(200 \times 10^{-12}\right)}=79.5 \Omega
$$

Thus, the capacitor exhibits a reactance of $79.5 \Omega$ at 10 MHz. This example illustrates the frequency dependence of capacitive reactance, as further discussed in the reference context, including its implications for impedance and admittance in AC circuits.",79.5,$\Omega$,No supplementary information needed.,single,Example 7.10,431400,1,easy,Materials: Semiconductors,Semiconductors,Electrical,Composites,Diffusion & Kinetics,,
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 7.11,Electronic_Magnetic_and_Optical_Materials_Fulay,NUM,"A $10-\mathrm{V}$ variable-frequency AC supply is connected to a $200-\mu \mathrm{F}$ capacitor. What is the value of capacitive reactance for frequencies of (a) 0 Hz, (b) 60 Hz, and (c) 1 kHz? What is the value of the current (I) flowing through the circuit for each frequency? Give your answer as a tuple (capacitive reactance at 0 Hz, capacitive reactance at 60 Hz, capacitive reactance at 1 kHz, current at 0 Hz, current at 60 Hz, current at 1 kHz).",,"1. When the frequency $(f)$ is zero, $X_{\mathrm{C}}=\infty$, and the value of current flowing through the circuit is zero. In other words, when a DC voltage is applied to the capacitor, the dielectric material just blocks this voltage.
2. When $f=60 \mathrm{~Hz}$, the value of the capacitive reactance $\left(X_{\mathrm{C}}\right)$ is given by

$$
X_{\mathrm{C}}=\frac{1}{2 \pi f C}=\frac{1}{2 \times \pi \times 60 \mathrm{~Hz} \times\left(200 \times 10^{-6}\right) \mathrm{F}}=13.26 \Omega
$$

The current flowing through this circuit is given by the modified version of Ohm's law, in which we replace the resistance $R$ with the capacitive reactance $X_{\mathrm{C}}$. Thus, the current $(I)$ is given by

$$
I=\frac{V}{X_{\mathrm{C}}}=\frac{10 \mathrm{~V}}{13.26 \Omega}=0.754 \mathrm{~A}
$$

This current is not in phase with the voltage. It leads the voltage by $90^{\circ}$ in the circuit of an ideal dielectric capacitor.
3. When $f=1 \mathrm{kHz}$, the value of capacitive reactance is given by

$$
X_{\mathrm{C}}=\frac{1}{2 \pi f C}=\frac{1}{2 \times \pi \times\left(1 \times 10^{3} \mathrm{~Hz}\right) \times\left(200 \times 10^{-6}\right) \mathrm{F}}=0.7958 \Omega
$$

The current $(I)$ is given by the equation

$$
I=\frac{V}{X_{\mathrm{C}}}=\frac{10 \mathrm{~V}}{0.7958 \Omega}=12.56 \mathrm{~A}
$$

Furthermore, the capacitive reactance $\left(X_{\mathrm{C}}\right)$ decreases with increasing frequency.","(\infty, 13.26, 0.796, 0, 0.754, 12.56)","(\Omega, \Omega, \Omega, A, A, A)",No supplementary information needed.,multiple,Example 7.11,131002,9,easy,Materials: Metals,Metals,Electrical,Composites,,,Plastic
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 8.1,Electronic_Magnetic_and_Optical_Materials_Fulay,NUM,"Both sides of an alumina plate are coated with a metal electrode. The surface area of the electrode is $5 \mathrm{~mm}^{2}$ and the relative dielectric constant and dielectric strength of the alumina are 9.1 and 17 volt $/ \mathrm{mm}$, respectively. What is the maximum amount of electric charge that can be stored on the alumina plate's surface?",,"1. In Gauss's law (or the first Maxwell's equation),

$$\boldsymbol{\nabla} \cdot \boldsymbol{D}=\rho \text { and } \boldsymbol{D}=\varepsilon \boldsymbol{E}$$

Since the electric field equals the gradient of electric potential,

$$\boldsymbol{E}=-\nabla V$$

By combining these two equations,

$$\begin{gathered}
-\nabla \cdot(\varepsilon \nabla V)=\rho \\
\nabla^{2} V=-\frac{\rho}{\varepsilon}
\end{gathered}$$

This shows that the gradient of electric potential is proportional to the charge density. If the material's surface is electrically conducting, the surface is equipotential and the potential gradient is developed along the normal direction of the charged surface. Also, when the left and right sides of the aforementioned equation are integrated, we can find a correlation between electric field and electric charge, which is called Poisson's equation

$$\oint_{\text {surface }} E_{\mathrm{n}} d A=\frac{Q_{\text {total }}}{\varepsilon_{0}}$$

where $E_{\mathrm{n}}$ is the electric field normal to the surface and $Q_{\text {total }}$ is the total charge inside the surface.
2. Note that only the electric charge on the surface of the dielectric layer is not compensated. This means that the material is electrically neutralized except at its surface. Therefore, the surface charge density per unit area ( $\sigma$ ) is correlated to the charge density $(\rho)$. By combining these two equations,

$$\rho=\int \sigma(d A)$$

From $\nabla^{2} V=-\frac{\rho}{\varepsilon}$, we can get an equation, $\nabla V=\boldsymbol{E}=-\frac{\sigma}{\varepsilon}$. Consequently, the maximum surface charge density per unit area ( $\sigma$ ) that can be stored on the dielectric material's surface equals the product of the maximum dielectric strength ( 17 volt $/ \mathrm{mm}$ ) and the permittivity of alumina $\left(=9.62 \times \varepsilon_{0}\right)$. In this example, the charge stored on the alumina with the electrode area of $5 \mathrm{~mm}^{2}$ is $\varepsilon E A$ :


$$\begin{aligned}
Q & =17,000\left(\frac{\mathrm{volt}}{\mathrm{~m}}\right) \times 9.62 \times 8.85 \times 10^{-12}\left(\frac{\mathrm{~A}^{2}}{\mathrm{~m}^{3} \mathrm{~kg}^{\prime} \mathrm{s}^{4}}\right) \times 5.0 \times 10^{-6}\left(\mathrm{~m}^{2}\right) \\
& =7.23 \times 10^{-12}(\mathrm{~F})
\end{aligned}$$",7.23E-12,F,"*   The permittivity of alumina used in the solution is $9.62 \times \varepsilon_0$, which implies a relative dielectric constant of 9.62, whereas the problem description states the relative dielectric constant is 9.1. The value 9.62 is used in the calculation.",single,Example 8.1,133400,2,easy,Materials: Metals,Metals,Electrical,Structural Gradient,Diffusion & Kinetics,,
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 8.3,Electronic_Magnetic_and_Optical_Materials_Fulay,NUM,"Relative permittivity of water at $10^{8} \mathrm{~Hz}$ and $10^{11} \mathrm{~Hz}$ is $\sim 90$ and $\sim 6$, respectively. Estimate the relative contribution of dipolar polarization, ionic polarization, and electronic polarization to the permittivity of water. The refractive index of water is 1.33 at room temperature. Give your answer as a tuple (dipolar polarization, ionic polarization, electronic polarization).",,"1. Since the valence electrons form bonds among atoms, covalent materials do not exhibit ionic polarization and dipolar polarization. Dielectric properties of strong covalent materials are determined by electronic polarization. Until the frequency of the incident wave reaches the natural resonance frequency of electronic polarization ( $>10^{16} \mathrm{~Hz}$ ), the dielectric response of the electric field does not change significantly. In contrast, the natural resonance frequency of ionic bonding is near $10^{13} \mathrm{~Hz}$, and the ionic polarization mechanism does not work above the resonance frequency. This leads to a large frequency dependence of the permittivity near the resonance frequency.
2. Dipolar polarization, ionic polarization, and electronic polarization contribute to the relative permittivity $(\sim 90)$ of water at a low frequency $\left(10^{8} \mathrm{~Hz}\right)$. As the frequency increases to $10^{11} \mathrm{~Hz}$, the relative permittivity is attributed to the sum of ionic polarization and electronic polarization ( 6 ). The contribution of the electronic polarization to the relative permittivity at a high frequency can be calculated from the square of the refractive index $\left(\varepsilon_{\mathrm{r}}=n^{2}=1.8\right)$. Therefore, $84: 4.2(=6-1.8): 1.8$ is the relative magnitude ratio of dipolar polarization, ionic polarization, and electronic polarization in water.","(84, 4.2, 1.8)",,No supplementary information needed.,multiple,Example 8.3,131107,2,easy,Materials: Metals,Metals,Electrical,Composites,Atomic Bonding,,Corrosion
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 8.4,Electronic_Magnetic_and_Optical_Materials_Fulay,NUM,"Estimate the plasma frequency \(\left(v_{p}\right)\) of lithium metal using the atomic density of lithium metal.
",,"The plasma frequency \(\left(v_{p}\right)\) of lithium metal can be estimated using the atomic density of lithium metal. The permittivity of the dielectric is given by

\[\varepsilon_{\mathrm{r}}=1+\frac{N_{\mathrm{d}} \alpha}{\varepsilon_{0}}=1+\frac{N_{\mathrm{d}} q x}{\varepsilon_{0} E}\]

where \(N_{\mathrm{d}}\) is dielectric dipole density (equal to electron density for electronic polarization), \(\alpha\) is polarizability, and \(q\) is the charge of each pole (\(q=-e\) for electronic polarization). Since each lithium ion has one valence electron, \(N_{\mathrm{d}}\) is the same as the atomic density \(\left(\rho_{\mathrm{A}}\right)\), which equals (mass density, \(\rho\)) \(\times\) (molecular weight, \(M\)) \(\div\) (Avogadro's number, \(N_{\mathrm{A}}\)). The plasma frequency is then given by

\[w_{\mathrm{p}}=2 \pi v=\left(\frac{\rho_{\mathrm{A}} \mathrm{e}^{2}}{m_{\mathrm{e}} \varepsilon_{0}}\right)^{\frac{1}{2}}=1.22 \times 10^{16} \mathrm{~Hz} \text { (for lithium metal) }\]",1.22E+16,Hz,*   Atomic density of lithium metal,single,Example 8.4,131107,1,medium,Materials: Metals,Metals,Electrical,Composites,Atomic Bonding,,Corrosion
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 8.5,Electronic_Magnetic_and_Optical_Materials_Fulay,NUM,Green light with a wavelength of 530 nm travels in a waveguide. The refractive index of the core is 1.45 and that of the cladding is 1.43. What is the critical angle for total internal reflection at the core-cladding interface?,,"The critical angle $(\theta_{\mathrm{C}})$ for total internal reflection is determined by the condition:

$$
\sin \theta_{\mathrm{c}} = \frac{n_{\mathrm{f}}}{n_{\mathrm{i}}}
$$

Given that $n_{\mathrm{i}} = 1.45$ (core) and $n_{\mathrm{f}} = 1.43$ (cladding), the critical angle is calculated as:

$$
\theta_{\mathrm{c}} = \sin^{-1}\left(\frac{n_{\mathrm{f}}}{n_{\mathrm{i}}}\right) = 80.5^{\circ}
$$

If the incident angle is larger than $80.5^{\circ}$, the total power of the incident green light is reflected back to the core at the core-cladding interface, satisfying the condition for total internal reflection.",80.5,${}^{\circ}$,No supplementary information needed.,single,Example 8.5,51000,1,easy,Properties: Optical,,Optical,Composites,,,
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 8.6,Electronic_Magnetic_and_Optical_Materials_Fulay,NUM,"1. Sunlight is incident through a glass window. If there is no antireflection layer on the glass surface, how much radiation energy is transmitted through the glass for blue ray $(\lambda=450 \mathrm{~nm}, n=1.47)$ and infrared ray $(\lambda=3 \mu \mathrm{~m}, n=1.42)$? Assume that absorption is negligible. Give your answer as a tuple (percentage of transmitted energy for blue ray, percentage of transmitted energy for infrared ray).",,"1. When light is incident from air to the medium, the reflectance $(R)$ is given by $R=\left(\frac{\bar{n}-1}{\bar{n}+1}\right)^{2}=\frac{(n-1)^{2}+\kappa^{2}}{(n+1)^{2}+\kappa^{2}}$, where $\bar{n}=n+i\kappa$ is the complex refractive index. For light of $\lambda=450 \mathrm{~nm}$ and $3 \mu \mathrm{~m}$, with negligible absorption ($\kappa=0$), the reflectance $(R)$ is $3.6\%$ and $3.0\%$, respectively. The transmittance $(T)$ is then $T=1-R$, resulting in $96.4\%$ for the blue ray and $97.0\%$ for the infrared ray.","(96.4, 97.0)","(%, %)",No supplementary information needed.,multiple,Example 8.6,651000,1,hard,Materials: Glasses,Glasses,Optical,Composites,,,
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 8.7,Electronic_Magnetic_and_Optical_Materials_Fulay,NUM,"If the AC conductivity ($\sigma$) and the real refractive index ($n$) of Cu are $3.1 \times 10^{2}(\Omega \cdot \mathrm{cm})^{-1}$ and 0.38 at $\lambda=1 \mu \mathrm{m}$, respectively, what are the extinction coefficient ($k$) and absorption coefficient ($\alpha$)? Give your answer as a tuple (k, $\alpha$).",,"1. The extinction coefficient ($k$) and absorption coefficient ($\alpha$) can be calculated using the relations:
$$
\begin{gathered}
k=\frac{\sigma}{4 \pi \varepsilon_{0} n v} \\
\alpha=\frac{4 \pi v}{c} \frac{\sigma}{4 \pi \varepsilon_{0} n v}=\frac{\sigma}{\varepsilon_{0} c n}
\end{gathered}
$$
Given the AC conductivity ($\sigma$) and the real refractive index ($n$) of Cu, the extinction coefficient and absorption coefficient are found to be:
$$
\therefore k=2.45, \alpha=3.1 \times 10^{7}\left(\mathrm{~m}^{-1}\right)
$$
2. For p-type silicon with an absorption coefficient ($\alpha$) of $0.12 \mu^{-1}$ at a wavelength of 780 nm, the AC conductivity cannot be directly calculated from the absorption coefficient. This is because the attenuation of incident light in p-type silicon at this wavelength involves electron excitation from the valence band to the conduction band as well as free electron motion, making the relationship between $\alpha$ and $\sigma$ indirect.","(2.45, 3.1e7)","(,m^{-1})",No supplementary information needed.,multiple,Example 8.7,451000,2,easy,Materials: Semiconductors,Semiconductors,Optical,Composites,,,
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 9.1,Electronic_Magnetic_and_Optical_Materials_Fulay,NUM,"Let us say that you want to install solar panels for your house in City A where the yearly solar radiation is 1,600 $\mathrm{kWh} / \mathrm{m}^{2}$. Each panel costs $\$ 550$, and the efficiency and active area of each panel is $16 \%$ and $2.5 \mathrm{~m}^{2}$.

1. In 2013, the average annual electricity consumption for a U.S. residential utility customer was $10,908 \mathrm{kWh}$. How many solar panels do you need to cover the electricity demand of your house?
2. The price of electricity in City A is 15 cents per kWh . What is your payback period (in other words, how many years do you need to use the solar panels to get back your investment)? Assume that costs of installation and other auxiliary parts are the same as the panel price.

Give your answer as a tuple (the number of solar panels, the payback period).",,"1. Total active area of solar cells for yearly production of $10,908 \mathrm{kWh}$ is

$$
10,908(\mathrm{kWh}) \div\left[0.16 \times 1600\left(\mathrm{kWh} / \mathrm{m}^{2}\right)\right]=42.9\left(\mathrm{~m}^{2}\right)
$$

Therefore, you need $\sim 17$ panels with an active area of $2.5 \mathrm{~m}^{2}$ to be self-sufficient in electricity.


2. Each panel produces $640 \mathrm{kWh} /$ year of electricity, which corresponds to $\$ 96 /$ year. Since the total cost of the solar panel installation (panel price + installation cost + auxiliary parts) is $\$ 1,100 /$ panel, the payback period is

$$
\therefore \$ 1100 \div \$ 96 / \text { year }=11.458 \text { years. }
$$","(17, 11.458)","(m^2, year)",No supplementary information needed.,multiple,Example 9.1,51000,2,medium,Properties: Optical,,Optical,Composites,,,
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 9.3,Electronic_Magnetic_and_Optical_Materials_Fulay,NUM,You are trying to connect an external load to a solar cell. This solar cell exhibits the current density $(J)$ and power $(P)$ versus voltage relations in Figure. What is the resistance of the external load that allows you to pull out a maximum power from this solar cell? Active area (the area of the p-n junction semiconductor exposed to illuminating light) is $100 \mathrm{~cm}^{2}$.,"images/Electronic_Magnetic_and_Optical_Materials_Fulay_Example 9.3_1.jpeg,images/Electronic_Magnetic_and_Optical_Materials_Fulay_Example 9.3_2.jpeg","In Figure, the output power $(P)$ is calculated by multiplying current and voltage at each point of the $J-V$ curve. A relation between $P$ and $V$ shows that the maximum power of the solar cell is found at $V_{\mathrm{m}} \sim 0.55$ volt and $J_{\mathrm{m}} \sim 5.5$ $\mathrm{mA} / \mathrm{cm}^{2}$. Since the active area is $100 \mathrm{~cm}^{2}$, the total current is $0.55 \mathrm{~A}\left(=0.0055 \mathrm{~A} / \mathrm{cm}^{2} \times 100 \mathrm{~cm}^{2}\right)$. This current-voltage relation is obtained when the resistance of $1 \Omega(R=V / I=0.55 / 0.55)$ is connected to the solar cell with an active area of $100 \mathrm{~cm}^{2}$. Therefore, connection of the external resistance $1 \Omega$ to the solar cell makes the solar cell supply the maximum power to the external resistance. The characteristic resistance $(R_{\mathrm{CH}})$ of the solar cell, which maximizes the output power, is determined from the slope of $V_{\mathrm{mp}} / I_{\mathrm{mp}}$ as shown in Figure.",1,Ω,No supplementary information needed.,single,Example 9.3,431000,4,easy,Materials: Semiconductors,Semiconductors,Electrical,Composites,,,
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 9.4,Electronic_Magnetic_and_Optical_Materials_Fulay,NUM,"An indium gallium arsenide, (In,Ga)As, photodiode is irradiated by IR light with the wavelength $1 \mu \mathrm{m}$ and the power density $1.5 \mathrm{mW} / \mathrm{cm}^{2}$. Assume that the incident photon-to-current efficiency (IPCE or external quantum efficiency) of the photodiode is $90\%$ over IR light, and the light receiving area is $2.5 \mathrm{cm}^{2}$. What is the electric current coming out of the photodiode?",,"Since the wavelength $\lambda$ is $1 \mu \mathrm{m}$, the energy of each photon $\left(E_{\mathrm{ph}}=h c / \lambda\right)$ is 1.24 eV. Also, the total incident power over the area of $2.5 \mathrm{cm}^{2}$ is $1.5 \mathrm{mW} / \mathrm{cm}^{2} \times 2.5 \mathrm{cm}^{2} = 3.75 \mathrm{mW}$. Therefore, the number of incident photons $\left(N_{\mathrm{ph}}\right)$ per unit time is

$$
N_{\mathrm{ph}}=\frac{3.75 \times 10^{-3} \mathrm{J} / \mathrm{s}}{1.24 \times 1.6 \times 10^{-19} \mathrm{J}}=1.89 \times 10^{16} \text{ photons } / \mathrm{s}
$$

The quantum efficiency is $90\%$ and the electric current from the semiconductor is

$$
I_{\mathrm{ph}}=1.89 \times 10^{16} \times 1.6 \times 10^{-19} \times 0.9=2.72 \mathrm{mA}
$$

Reference Equation: 

$$
\text{IPCE}=\frac{I_{\mathrm{sc}}}{P_{\mathrm{in}}} \times \frac{1240}{\lambda}
$$

where the unit of $I_{\mathrm{sc}}$, $P_{\mathrm{in}}$, and $\lambda$ are A, watt, and nm, respectively.",2.72,mA,No supplementary information needed.,single,Example 9.4,431000,4,medium,Materials: Semiconductors,Semiconductors,Electrical,Composites,,,
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 10.3,Electronic_Magnetic_and_Optical_Materials_Fulay,NUM,"Question: A poled PZT type I piezoelectric ceramic disk (length $l_{0}=2 \mathrm{~mm}$ and poled in Direction 3) of a certain composition has $d_{33}=289 \mathrm{pC} / \mathrm{N}$, and its dielectric constant is 1300.

1. What is the value of the piezoelectric voltage constant or the $g_{33}$ coefficient?
2. What is the voltage applied across the thickness of this material if the electric field $(E)$ is $250 \mathrm{kV} / \mathrm{m}$?
3. How much strain $(X)$ will this voltage generate along Direction 3?
4. What will be the increase in length, in micrometers?

Give your answer as a tuple (piezoelectric voltage constant, voltage applied, strain generated, increase in length).",,"1. The $g_{33}$ coefficient is calculated using the formula:

$$
g_{33}=\frac{d_{33}}{\varepsilon_{33}^{X}}
$$

Given $d_{33}=289 \mathrm{pC} / \mathrm{N}$ and $\varepsilon_{\mathrm{r} 33}^{X}=1300$, we first find $\varepsilon_{33}^{X}$:

$$
\varepsilon_{\mathrm{r} 33}^{X}=1300=\frac{\varepsilon}{8.85 \times 10^{-12} \mathrm{~F} / \mathrm{m}} \text { or } \varepsilon_{\mathrm{r} 33}^{X}=1.15 \times 10^{-8} \mathrm{~F} / \mathrm{m}
$$

Thus,

$$
g_{33}=\frac{\left(289 \times 10^{-12} \mathrm{C} / \mathrm{N}\right)}{\left(1.15 \times 10^{-8} \mathrm{~F} / \mathrm{m}\right)}=25.1 \times 10^{-3} \mathrm{~V} \cdot \mathrm{~m} / \mathrm{N}
$$

2. The voltage applied across the thickness of the material is calculated by:

$$
250 \frac{\mathrm{kV}}{\mathrm{~m}} \times 10^{3} \frac{\mathrm{~V}}{\mathrm{kV}} \times 2 \mathrm{~mm} \times 10^{-2} \frac{\mathrm{~m}}{\mathrm{~mm}}=5000 \mathrm{~V}
$$

3. The strain generated in Direction 3 is given by:

$$
X=d_{33} \times E_{3}=\left(289 \times 10^{-12} \mathrm{C} / \mathrm{N}\right)\left(250 \times 10^{3} \mathrm{~V} / \mathrm{m}\right)=7.225 \times 10^{-5}
$$

4. The increase in length is calculated from the strain:

$$
\Delta l=\left(2 \mathrm{~mm} \times 1000 \mu \mathrm{~m} / \mathrm{mm}\right)\left(7.225 \times 10^{-5}\right)=0.145 \mu \mathrm{~m}
$$

Thus, applying a voltage of 500 V to this cylinder of height 2 mm will cause an elongation of $0.145 \mu \mathrm{~m}$.","(25.1 \times 10^{-3}, 5000, 7.225 \times 10^{-5}, 0.145)","(V·m/N, V, , µm)",No supplementary information needed.,multiple,Example 10.3,531400,7,easy,Materials: Ceramics,Ceramics,Electrical,Composites,Diffusion & Kinetics,,
Electronic_Magnetic_and_Optical_Materials_Fulay_Example 10.4,Electronic_Magnetic_and_Optical_Materials_Fulay,NUM,"A poled PZT ceramic plate, 50 mm long, 5 mm wide, and 2 mm thick, is used as a micropositioner device. Assume that the dielectric constant $\left(\varepsilon_{\mathrm{r} 33}^{\mathrm{X}}\right)$ is 1200 and $g_{31}=10.5 \times 10^{-3} \mathrm{~V} \cdot \mathrm{~m} / \mathrm{N}$. 1. What will be the value of $d_{31}$? 2. What will be the change in the length of this plate if a potential of 100 V is applied across its thickness? Give your answer as a tuple (d31, change in length).",images/Electronic_Magnetic_and_Optical_Materials_Fulay_Example 10.4_1.jpeg,"1. We start with the relationship between $d_{31}$ and $g_{31}$ from Equation,

$$\frac{d_{31}}{g_{31}}=\varepsilon_{33}^{X}$$

Therefore,

$$d_{31}=g_{31} \times \varepsilon_{33}^{X}=10.5 \times 10^{-3} \mathrm{~V} \cdot \mathrm{~m} / \mathrm{N} \times 1200 \times 8.85 \times 10^{-12} \mathrm{~F} / \mathrm{m}$$

Thus, $d_{31}=139.9 \times 10^{-12} \mathrm{~m} / \mathrm{V}$.

2. The change in the dimension of this plate along its length can be calculated by the expression

$$\Delta l=d_{31} \times V \times \frac{l}{t}$$

$$\Delta l=139.9 \times 10^{-12} \mathrm{~m} / \mathrm{V} \times 100 \mathrm{~V} \times \frac{50 \times 10^{-3} \mathrm{~m}}{2 \times 10^{-3} \mathrm{~m}}=0.348 \mu \mathrm{~m}$$

Thus, by applying a voltage of 100 V, we get an increase of about 348 nm in the length of the plate.","($139.9 \times 10^{-12}$, $0.348 \times 10^{-6}$)","(m/V, m)",No supplementary information needed.,multiple,Example 10.4,531000,5,easy,Materials: Ceramics,Ceramics,Electrical,Composites,,,
